"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09 de set. de 2021","6,1462","6,2893","6,3095","6,1419","186,19K","-2,23%"
"08 de set. de 2021","6,2862","6,1225","6,3037","6,1073","158,97K","2,73%"
"07 de set. de 2021","6,1193","6,1378","6,1458","6,1205","72,59K","-0,25%"
"06 de set. de 2021","6,1349","6,1680","6,1855","6,1146","96,47K","-0,53%"
"03 de set. de 2021","6,1677","6,1554","6,1778","6,0908","174,08K","0,25%"
"02 de set. de 2021","6,1525","6,1402","6,1688","6,1020","133,81K","0,22%"
"01 de set. de 2021","6,1390","6,0831","6,1543","6,0743","165,86K","0,98%"
"31 de ago. de 2021","6,0797","6,1171","6,1518","6,0378","151,23K","-0,57%"
"30 de ago. de 2021","6,1145","6,1332","6,1666","6,1139","131,25K","-0,34%"
"27 de ago. de 2021","6,1354","6,1736","6,1891","6,1182","182,35K","-0,58%"
"26 de ago. de 2021","6,1713","6,1364","6,1912","6,1283","169,07K","0,60%"
"25 de ago. de 2021","6,1342","6,1673","6,1909","6,1273","165,54K","-0,52%"
"24 de ago. de 2021","6,1660","6,3211","6,3228","6,1645","134,51K","-2,41%"
"23 de ago. de 2021","6,3180","6,2891","6,3374","6,2677","141,82K","0,46%"
"20 de ago. de 2021","6,2889","6,3226","6,3917","6,2782","166,11K","-0,50%"
"19 de ago. de 2021","6,3205","6,3010","6,3832","6,2765","213,28K","0,34%"
"18 de ago. de 2021","6,2993","6,2017","6,3204","6,1656","183,96K","1,61%"
"17 de ago. de 2021","6,1997","6,1954","6,2190","6,1333","172,55K","0,09%"
"16 de ago. de 2021","6,1941","6,1846","6,2351","6,1628","151,97K","0,13%"
"13 de ago. de 2021","6,1863","6,1614","6,2238","6,1522","148,54K","0,40%"
"12 de ago. de 2021","6,1615","6,1267","6,1747","6,1129","166,97K","0,60%"
"11 de ago. de 2021","6,1250","6,0826","6,1428","6,0635","165,60K","0,72%"
"10 de ago. de 2021","6,0811","6,1448","6,1676","6,0744","217,06K","-0,99%"
"09 de ago. de 2021","6,1421","6,1534","6,2272","6,1237","183,19K","-0,14%"
"06 de ago. de 2021","6,1506","6,2119","6,2158","6,1280","175,31K","-0,96%"
"05 de ago. de 2021","6,2104","6,1197","6,2220","6,0526","194,69K","1,54%"
"04 de ago. de 2021","6,1163","6,1672","6,2092","6,1168","163,03K","-0,76%"
"03 de ago. de 2021","6,1633","6,1430","6,2606","6,1407","170,49K","0,37%"
"02 de ago. de 2021","6,1408","6,1849","6,2030","6,0693","147,67K","-0,75%"
"30 de jul. de 2021","6,1870","6,0414","6,2018","6,0318","150,47K","2,44%"
"29 de jul. de 2021","6,0395","6,0606","6,0790","5,9895","173,05K","-0,34%"
"28 de jul. de 2021","6,0604","6,1091","6,1234","6,0441","205,80K","-0,76%"
"27 de jul. de 2021","6,1067","6,1102","6,1512","6,0926","156,74K","-0,01%"
"26 de jul. de 2021","6,1073","6,1265","6,1616","6,0841","118,45K","-0,23%"
"23 de jul. de 2021","6,1213","6,1214","6,1602","6,0680","169,98K","0,01%"
"22 de jul. de 2021","6,1208","6,1187","6,1679","6,0875","159,52K","0,06%"
"21 de jul. de 2021","6,1170","6,1519","6,2241","6,1141","161,62K","-0,52%"
"20 de jul. de 2021","6,1492","6,1980","6,2266","6,1220","200,55K","-0,76%"
"19 de jul. de 2021","6,1962","6,0403","6,2045","6,0183","198,41K","2,62%"
"16 de jul. de 2021","6,0379","6,0390","6,0517","5,9923","172,00K","0,03%"
"15 de jul. de 2021","6,0359","6,0033","6,0662","5,9697","178,64K","0,58%"
"14 de jul. de 2021","6,0011","6,0799","6,0978","5,9903","151,99K","-1,27%"
"13 de jul. de 2021","6,0780","6,1373","6,1620","6,0781","155,95K","-0,92%"
"12 de jul. de 2021","6,1347","6,2442","6,2625","6,1220","152,34K","-1,73%"
"09 de jul. de 2021","6,2427","6,2295","6,2495","6,2193","51,08K","0,26%"
"08 de jul. de 2021","6,2264","6,1701","6,3046","6,1655","167,74K","0,96%"
"07 de jul. de 2021","6,1674","6,1473","6,2337","6,1142","157,72K","0,37%"
"06 de jul. de 2021","6,1444","6,0464","6,1692","6,0111","180,31K","1,76%"
"05 de jul. de 2021","6,0384","6,0009","6,0517","5,9880","109,62K","0,63%"
"02 de jul. de 2021","6,0008","5,9824","6,0089","5,9102","141,46K","0,34%"
"01 de jul. de 2021","5,9804","5,8934","5,9893","5,8766","149,97K","1,53%"
"30 de jun. de 2021","5,8903","5,8970","5,9562","5,8890","143,44K","-0,08%"
"29 de jun. de 2021","5,8950","5,8749","5,9093","5,8532","127,34K","0,39%"
"28 de jun. de 2021","5,8719","5,8899","5,9255","5,8626","127,08K","-0,26%"
"25 de jun. de 2021","5,8871","5,8642","5,9346","5,8531","139,93K","0,41%"
"24 de jun. de 2021","5,8628","5,9247","5,9401","5,8444","158,14K","-1,01%"
"23 de jun. de 2021","5,9228","5,9204","5,9553","5,8975","151,50K","0,08%"
"22 de jun. de 2021","5,9181","5,9742","6,0040","5,9178","155,94K","-0,94%"
"21 de jun. de 2021","5,9744","6,0416","6,0592","5,9746","182,36K","-1,02%"
"18 de jun. de 2021","6,0360","5,9641","6,0605","5,9142","275,44K","1,27%"
"17 de jun. de 2021","5,9604","6,0647","6,0703","5,9616","234,09K","-1,68%"
"16 de jun. de 2021","6,0624","6,1185","6,1271","6,0469","237,69K","-0,86%"
"15 de jun. de 2021","6,1150","6,1343","6,1920","6,1072","177,10K","-0,27%"
"14 de jun. de 2021","6,1313","6,1946","6,2045","6,1271","140,47K","-1,03%"
"11 de jun. de 2021","6,1948","6,1533","6,2193","6,1293","189,46K","0,70%"
"10 de jun. de 2021","6,1517","6,1673","6,1984","6,1245","206,27K","-0,21%"
"09 de jun. de 2021","6,1646","6,1282","6,1934","6,1182","170,02K","0,64%"
"08 de jun. de 2021","6,1251","6,1518","6,1760","6,1146","160,14K","-0,40%"
"07 de jun. de 2021","6,1495","6,1407","6,1727","6,1168","149,46K","0,11%"
